ProbeID	SYMBOL	cluster
GI_7706512-S	RAPGEF6	3
GI_13569955-S	ARPC5L	13
GI_9558740-S	FAM216A	4
GI_42657283-S	C5orf56	13
GI_4504688-S	IMPDH2	9
GI_42476319-S	SUSD1	16
GI_32698959-S	LINC00469	19
GI_22027529-S	LDLRAP1	3
GI_4502280-S	ATP1B3	14
GI_18426908-A	SIRPG	3
GI_37545997-S	C14orf64	3
GI_37546229-S	BEX4	3
GI_16506819-S	COLGALT2	19
GI_40804463-S	LAMP5	10
GI_5453861-S	PDE4A	15
GI_23510430-A	FAS	14
GI_8393671-S	KLHL3	3
GI_16905527-A	DAP3	2
GI_45433498-S	ZDHHC18	15
GI_10880123-A	CYTH2	15
GI_38016929-A	OASL	16
GI_41190507-S	---	1
GI_42794770-A	---	10
GI_40317614-A	PMEPA1	1
GI_7661669-S	SH3YL1	5
GI_19923320-S	KIFC3	20
GI_20336245-S	PCSK5	7
GI_37552330-S	ZFR2	11
GI_42660596-S	IGF1R	3
GI_42660198-S	TBC1D4	3
GI_20143980-S	HSD17B8	3
GI_18677769-S	C5orf20	10
GI_30240931-S	EHD1	15
GI_36054181-S	REG4	12
GI_32307116-A	PPP2R2B	19
GI_27436944-A	LMNA	17
GI_41190543-S	---	1
GI_31657128-S	PFAS	9
GI_4507470-S	TGFBR3	19
Hs.449602-S	IGLL5	1
GI_31542262-S	SLC17A9	6
GI_22748624-S	ZNF439	4
GI_21361744-S	STRBP	1
GI_4506520-S	RGS9	13
GI_27262654-A	IL16	3
GI_42542387-S	SFXN4	9
GI_4502798-S	CHAD	11
GI_4505854-S	PLAG1	11
GI_10835100-S	KAT2A	6
GI_21361441-S	C18orf8	13
GI_40804747-S	LIMS2	1
GI_37545625-S	TAF4B	5
GI_31880337-S	TUBA1C	17
GI_4504756-S	ITGAL	15
GI_4501882-S	ACTA2	12
GI_42660339-S	---	14
Hs.512137-S	---	1
GI_31543835-S	NME8	7
GI_21361572-S	CHN1	13
GI_7662259-S	KBTBD11	7
GI_5453624-S	C1orf61	13
GI_15812223-A	TRERF1	17
GI_22779872-S	FAM89B	15
GI_12669916-S	E2F5	1
GI_37595546-S	PDK1	5
GI_8051576-A	ABCG1	11
GI_22507386-S	CELA1	3
GI_22325374-A	EDARADD	13
GI_41222688-S	RPL31P11	7
GI_24307908-S	RALGDS	13
GI_37540666-S	GPR125	11
Hs.513794-S	---	13
GI_13540489-S	BACH2	3
GI_37577150-S	SPEG	6
GI_30425401-S	RPF2	5
hmm19468-S	---	13
GI_29789280-S	TSPYL5	11
GI_14110370-S	CDC16	5
GI_14165470-S	CDC42EP4	16
GI_38454325-S	CD38	10
GI_39725933-S	SERPINF1	10
GI_22129777-S	SRXN1	14
Hs.264076-S	RBM26-AS1	3
GI_34147323-S	SERPINE2	11
GI_11993934-S	CHI3L2	9
Hs.205675-S	---	1
GI_22202618-A	CTSL	16
GI_31543214-S	MT2A	16
Hs.243596-S	KATNAL1	13
GI_19743892-I	TADA3	14
GI_33946273-A	PRDM1	13
GI_22035608-A	OSBPL5	19
GI_31881629-S	PTGER2	14
GI_34222221-S	EPHX2	3
GI_31543430-S	PPP1CA	15
GI_13194196-S	KIF13B	15
GI_32698963-S	VMO1	16
GI_19923326-S	NET1	3
GI_11038661-S	C1QB	16
GI_4502686-S	CD84	13
GI_42656914-S	DTHD1	19
GI_6806888-S	HSF2	5
GI_22049497-S	LYPD2	16
GI_22547178-S	TRPV2	15
GI_24429585-S	---	19
GI_4501848-S	ABCA3	13
GI_37549797-S	FCRL6	13
GI_31377630-S	GBP5	13
GI_41349477-S	PRDM7	9
GI_4885584-S	SAE1	9
GI_7108343-A	GNLY	19
GI_34222198-S	LRRC8D	2
GI_34419632-S	ZNF135	11
GI_42734309-S	FAM53B	15
GI_4557514-S	DDB2	6
GI_18860903-S	PTPRM	13
GI_31542746-S	COMTD1	18
GI_9845514-I	S100A4	14
GI_22748812-S	FCRLB	19
GI_21614516-A	GYPC	3
Hs.483403-S	---	6
GI_14165459-A	NARF	18
GI_34147517-S	FAIM3	3
Hs.16515-S	---	1
GI_12707565-S	DUSP5	17
hmm11123-S	---	1
Hs.185140-S	IPCEF1	8
GI_4506374-S	RAB7L1	13
GI_38372914-S	EVA1C	19
GI_21314689-S	NGLY1	4
GI_7656870-S	ZNF544	6
GI_17388802-S	PAICS	2
GI_38679953-A	ABR	16
GI_4506792-S	ATXN1	2
GI_22507400-S	MDS2	6
GI_6006015-S	LGALS1	14
GI_24430213-S	IL10RA	15
GI_34222164-S	ZNF502	11
GI_23238255-A	CPT1B	6
GI_16933556-S	DCHS1	11
GI_30749197-A	FBXW5	18
GI_38505192-S	PTGDS	19
GI_38787975-S	TSPAN3	2
GI_5174516-S	SMAD7	17
GI_33620766-S	SCARB1	16
GI_30157733-S	---	16
GI_17149840-A	FKBP1B	20
GI_31341765-S	LOC338799	6
GI_6006040-S	SLC25A20	14
GI_18579257-S	---	13
GI_8393383-S	C6orf48	3
GI_41872576-S	RFTN1	13
GI_13376859-S	SLC35G2	13
GI_5730016-S	RPP40	4
GI_4503554-S	ELF4	15
GI_4503928-S	GATA3	13
GI_22749528-S	C17orf66	13
Hs.512124-S	---	1
hmm10298-S	---	1
GI_45356148-S	TSPAN17	18
GI_38348207-S	C1orf122	9
GI_39725714-S	ATIC	4
GI_6006016-S	LGALS3BP	10
GI_37542486-S	TSEN54	19
GI_34335254-S	DCTN2	18
GI_34328908-A	DUSP4	17
GI_15812220-S	RPL32	5
GI_21359902-S	HDGFRP3	13
GI_24497621-S	TRIM11	18
GI_42476192-S	TMEM66	3
GI_37059743-S	PIP4K2C	13
GI_4504720-S	IRF1	17
GI_30794221-S	BTBD6	18
GI_34303927-S	ATP1A3	13
GI_21914880-S	LGMN	10
Hs.449572-S	LOC651536	11
GI_42657338-S	---	17
GI_19882236-S	RHPN1	6
GI_37540654-S	ZNF518B	2
Hs.370906-S	---	8
GI_38016906-A	STOM	19
GI_25914748-S	ABCC10	6
GI_13376301-S	---	3
GI_18593550-S	---	11
GI_40254976-S	MIR600HG	1
GI_24234723-A	TRADD	6
GI_7706110-S	CD320	13
Hs.45184-S	---	8
GI_41406088-S	SOX13	13
GI_22748640-S	CHMP7	6
GI_8923562-S	TESC	16
Hs.517064-S	---	13
GI_25777679-A	RASSF1	19
GI_13399303-S	APOBEC3G	13
GI_8923268-S	TEX10	4
GI_34147369-S	TNIP2	18
GI_13775223-S	APH1B	16
GI_21264573-S	TSPAN13	1
Hs.149078-S	---	10
GI_16554601-S	MRPS18B	9
hmm15467-S	---	13
GI_11968026-S	AKTIP	3
GI_21536441-S	BCL7A	1
GI_24476008-S	RHBDD2	18
GI_17975754-I	MSL3	11
GI_41350329-S	MOB3B	1
GI_31343485-S	RNF166	18
GI_32483415-S	NEFH	10
GI_37555873-S	---	12
GI_34222126-S	PIK3IP1	3
GI_32698973-S	LINC00663	3
GI_34328936-S	CD63	16
GI_25121959-S	PTCH1	13
GI_41352062-S	PFKP	9
GI_6466447-S	DSTN	13
GI_22748692-S	ARL14EP	2
GI_22748614-S	C12orf23	4
GI_22726178-S	LDHB	5
GI_22749050-S	---	13
GI_45387924-S	LYPD2	16
GI_20070295-S	RNPEPL1	18
GI_24497541-S	HOXC5	12
GI_22547192-A	---	15
GI_34485718-S	E2F2	16
GI_37546969-S	---	1
GI_32698741-S	CACHD1	11
GI_31542945-S	---	1
GI_4885080-S	ATP5G1	9
GI_7019342-S	CD24	1
GI_7705703-S	GSTK1	14
GI_15619005-S	VIPR1	6
GI_31543215-S	MYC	3
GI_14574565-I	AIF1	10
hmm35424-S	---	11
GI_13376815-S	CXXC4	12
GI_4503298-S	BHLHE40	17
GI_4507728-S	TUBB2A	17
GI_18141314-S	S1PR5	19
GI_37540914-S	HYKK	11
GI_5729985-S	POP4	14
GI_37540696-S	ROBO3	11
GI_4504436-S	HMOX1	16
GI_21312133-S	MED15	15
GI_42658673-S	LINC00996	10
GI_14249635-S	TOX2	11
GI_4507176-S	SPIB	1
GI_30153083-S	---	11
GI_4505454-S	NRIP1	2
GI_21735617-A	APOL1	15
Hs.397082-S	---	8
GI_38679906-S	TPRG1L	15
GI_37059747-S	ADPRM	3
GI_31982913-S	WDR54	6
GI_18087856-S	UBE2F	16
GI_32528300-S	EPHB4	11
GI_21361347-S	UTP14A	9
GI_7657135-S	GPR160	2
GI_4506558-S	ABCE1	2
GI_31542492-S	DBP	5
GI_31543620-S	SH2D2A	19
GI_21389548-S	PSMA8	11
GI_37595568-S	CLEC11A	12
GI_37552316-S	MIDN	18
GI_41281541-S	COBLL1	1
GI_40786390-S	DNAJA3	4
GI_37539470-S	DTHD1	19
GI_28559030-A	IL5RA	13
GI_13112053-S	FGFRL1	18
GI_27764872-S	CRLF3	2
GI_7657350-S	MYBBP1A	6
GI_31742486-S	KIF3B	14
GI_22035553-A	APBB1	3
GI_22748696-S	C12orf45	10
GI_34147645-S	PLOD3	15
GI_42661316-S	---	13
GI_18597568-S	---	11
GI_12621915-S	---	12
GI_45580689-S	CLEC4C	10
GI_28376647-S	---	13
GI_40317613-A	MRRF	9
GI_9558742-S	CCDC106	9
GI_19743797-A	ZNF274	5
GI_18860909-A	SNTB2	19
GI_34147678-S	HOOK1	6
GI_29570797-S	PPAT	2
GI_42662613-S	---	1
GI_4504216-S	GUCY2D	12
GI_37595540-A	TRIM69	13
GI_4507208-S	SRM	9
GI_11968046-S	POLR1E	9
GI_19743904-A	RORA	17
GI_20986530-A	MAPK1	14
GI_31543384-S	PCYT1A	16
GI_22748764-S	CLDND2	13
GI_37540072-S	MCOLN2	13
GI_40254433-S	PDE3B	2
GI_33457315-S	PLEKHO2	16
GI_5453933-S	POU2AF1	1
GI_37552547-S	MAST3	15
GI_13376651-S	ATHL1	6
GI_34452697-S	ACTN4	15
GI_22035587-A	MRPL24	9
GI_7706271-S	DPH5	9
GI_16418372-S	---	13
GI_23200030-A	TNFRSF25	6
GI_31542985-S	ITLN1	12
hmm15104-S	SLC18B1	8
GI_44890064-S	GCFC2	6
GI_32455253-A	CERS2	14
GI_13375757-S	C1orf54	7
GI_21264579-S	TSPAN2	14
GI_23110934-I	PSMA1	3
Hs.443639-S	---	8
GI_8924245-S	BATF3	16
GI_13435349-A	FDXR	9
GI_20986528-I	MAPK1	14
GI_10864048-S	FAM60A	2
GI_40254469-S	SPN	15
GI_14150140-S	PDCD2L	9
GI_30151609-S	PHF19	18
GI_34335276-S	PPP1R16B	13
GI_30023852-S	MTSS1	14
GI_12545400-A	ICAM4	16
GI_41406049-S	DOK2	14
GI_19743895-A	TADA3	14
Hs.436457-S	---	8
GI_41393585-A	DGKA	3
GI_10092600-S	EIF4G3	12
GI_7770073-A	IARS	4
GI_13699866-S	MAP1LC3B	17
GI_39932584-S	STOX1	11
GI_41222100-S	DPY19L1	14
GI_17978496-A	CDKN1A	17
GI_7705876-S	HN1	15
GI_11545796-A	FAM129A	12
GI_20070291-S	CHST12	18
GI_31341110-S	TIGIT	13
GI_5803120-S	PDIA5	10
GI_38202210-S	GNPTAB	19
GI_34222383-S	THNSL1	2
GI_18641377-S	HLA-DOB	1
GI_7662509-S	LEPROTL1	2
Hs.203743-S	---	12
GI_27734688-S	SSPO	7
GI_7108343-I	GNLY	19
GI_4757805-S	VPS9D1	18
GI_7662301-S	TBKBP1	13
GI_7661757-S	KIAA0125	1
GI_21359901-S	NSA2	2
GI_21237760-S	CD81	13
GI_4504706-S	INPP4B	3
GI_27734692-S	C14orf80	18
GI_7019524-S	SERTAD1	17
GI_37539232-S	EEF1B2	5
GI_45120103-S	MGC70870	5
GI_19743818-A	ITGB1	14
GI_13376724-S	CCDC92	20
GI_37550526-S	HEG1	15
GI_27482477-S	---	4
GI_31543175-S	FAM134A	15
GI_30794499-S	KDM1A	11
GI_42658645-S	---	16
GI_31324542-S	CAMK2N1	13
Hs.442319-S	---	13
GI_16757969-I	FAM129A	5
GI_31652260-S	MYBL2	10
GI_4506760-S	S100A10	7
GI_4758013-S	CMKLR1	14
GI_21389384-S	RHEBL1	13
GI_30179901-S	SOX4	10
GI_31543400-S	PIM1	9
GI_16506300-S	EPB41L4A-AS1	5
GI_31542293-S	CD2	3
GI_37539476-S	PPM1J	10
GI_42476329-S	SFTPD	16
GI_37537686-S	ZNF444	6
GI_37546335-S	NOL11	5
GI_31542664-S	LRRC36	10
GI_31341099-S	RNF207	12
GI_17978488-A	CD97	15
GI_13518227-S	MCCC1	5
Hs.406489-S	---	1
GI_37574602-S	ZNF256	11
GI_31343528-S	CCDC71L	17
GI_22027626-A	TRAF5	3
GI_15451920-A	PDGFD	19
GI_28416425-I	ZNF655	17
GI_5803026-S	IFI44L	10
GI_8923223-I	LRRFIP2	7
GI_41281560-S	CLSTN1	15
Hs.191828-S	---	11
GI_21361764-S	FOXRED1	6
Hs.483737-S	---	12
GI_21265090-S	MRPL3	2
GI_38373674-A	RAPGEF1	15
GI_10835138-S	FCGR3B	14
GI_44680152-S	LOC388152	6
GI_28559082-A	CTPS2	9
GI_22749520-S	GK5	13
GI_12383073-S	TUT1	6
GI_42741656-A	---	18
GI_4505948-S	POMC	12
GI_19923492-S	PLEKHA5	13
GI_20070219-S	PRMT5	9
GI_5901975-S	PLA2G16	14
GI_18490989-S	MX1	10
GI_24475984-S	TMEM14C	2
GI_16445423-S	WDR12	2
GI_10938005-S	SLC10A3	20
GI_22325391-S	TIGD7	4
GI_24119161-S	CD70	12
GI_6996012-S	GZMA	19
GI_4506138-S	CHMP1A	18
GI_14589848-S	GNGT2	14
GI_10835156-S	IGFBP2	12
GI_32699055-S	---	3
GI_4826697-S	DNASE1L3	10
GI_42661292-S	SCD	10
GI_26787979-A	IL15	16
GI_37543871-S	DNAH10	13
GI_37542672-S	---	17
GI_38016920-S	RAB35	15
GI_4758211-S	DUSP8	17
GI_19743810-S	TBK1	2
GI_34147704-S	HMGN1	2
GI_13929468-S	B4GALT3	15
GI_27500713-S	ZIK1	7
GI_5453959-S	RABAC1	15
Hs.293510-S	---	11
GI_24431963-S	HBS1L	4
GI_29568100-S	ATP5L	5
GI_27500987-S	LINC00494	1
GI_31341881-S	C6orf1	15
GI_40255150-S	---	2
GI_24475653-S	PROK2	14
GI_34330189-S	HKR1	6
GI_21040361-A	BACE2	1
GI_4502564-S	CAPNS1	15
GI_11641230-S	EDAR	11
GI_4753160-S	GTF3C1	15
GI_22538458-A	NCOA1	15
GI_21361999-S	TNIP3	12
Hs.449605-S	---	1
GI_4757917-S	RUNX3	19
GI_21955169-I	SSBP3	19
GI_23308516-S	ZNF75A	4
GI_32483414-S	GZMB	19
GI_9845515-A	S100A4	7
GI_41146823-S	---	13
GI_4557248-S	ADA	13
Hs.519321-S	---	3
GI_39725941-S	C10orf2	9
GI_19923571-S	SLAMF7	19
Hs.291277-S	---	8
GI_13375927-S	ANKRD55	3
GI_38566701-S	ZNF285	11
GI_10835237-S	IFITM2	14
Hs.289062-S	---	11
GI_27499434-S	PPFIBP2	12
GI_16950596-A	MRPS33	2
GI_4502650-S	CD22	1
GI_19913391-A	RGS3	19
GI_32307143-S	PLOD1	16
GI_9910257-S	SDR39U1	6
GI_20544181-S	WDR13	18
GI_6631103-S	EI24	5
GI_24497439-A	IL12RB1	13
GI_4757883-S	LDLRAD4	4
GI_7706528-S	CD244	19
GI_13435360-A	DSC1	11
GI_34147672-S	ST6GALNAC6	18
GI_7705432-S	EIF3L	2
GI_30795206-S	PPP2R5B	15
GI_27478147-S	PTRH1	9
GI_40254960-S	DERL1	17
GI_38488711-S	TANGO2	18
GI_27886606-A	PTK7	11
GI_37550189-S	SEPT8	13
GI_31543612-S	SCML1	11
GI_24430136-S	LAGE3	9
GI_7706275-A	TPPP3	16
Hs.188173-S	---	1
GI_13375816-S	NEIL1	6
GI_21361584-S	PALLD	14
GI_38016939-S	MON1B	18
GI_23110986-A	MS4A1	1
hmm8270-S	FAM159A	3
GI_22091444-S	GFRA2	18
GI_7669497-I	KLRD1	19
GI_40254972-S	PRR5L	14
GI_5803022-S	LMAN2	18
GI_14249307-S	PYROXD2	19
GI_4507742-S	TXK	3
GI_21464102-S	YWHAH	20
GI_11321627-S	CTRC	18
GI_4502890-S	CLNS1A	2
GI_34452731-S	PREX1	15
GI_20475100-S	---	8
GI_40788000-I	SPRY1	11
GI_27478592-S	---	13
GI_33946273-I	PRDM1	13
GI_37546955-S	DNAH6	11
GI_19923369-S	KDM5B	11
GI_19913411-A	MVP	16
GI_16306478-S	CEP41	2
GI_18482382-S	KLHL6	2
GI_37059742-S	MKI67IP	2
GI_32484980-S	BANK1	1
Hs.119065-S	---	8
GI_40353202-S	FAM219B	9
GI_19593984-S	SURF4	9
GI_40254903-S	CASZ1	13
GI_29171718-A	GPLD1	11
GI_7657121-S	GEMIN4	9
GI_20127554-S	---	9
GI_40807488-S	EMR1	16
GI_8922178-S	STYK1	13
GI_12965196-S	GRAMD3	4
GI_4885060-S	AKT1	15
GI_31377838-S	ZNF606	11
GI_33624782-I	SEPT6	3
GI_27477118-S	CAMK4	3
GI_32967308-S	EPHA1	3
GI_4757913-S	CASP5	16
GI_21071009-S	TCN2	16
GI_22027510-A	CDCA4	17
GI_13376184-S	RBFA	6
GI_19923620-S	HSD3B7	12
GI_42716310-S	ARNTL	13
GI_22027610-S	TRAF1	6
GI_8923764-S	CACNA2D3	7
GI_31377810-S	LSS	13
GI_34147603-S	STX4	18
GI_4505492-S	OGDH	18
GI_42661328-S	FAM195B	18
Hs.158943-S	LOC100131289	11
GI_20986530-I	MAPK1	14
GI_8922332-S	PLEKHJ1	18
GI_8923943-S	NKRF	4
GI_11386198-S	PVRL3	13
GI_37655156-S	KLF6	17
GI_42789728-S	LRMP	2
GI_31415881-S	EXOSC8	4
GI_32528285-A	ACOT7	18
GI_37552339-S	KDM4B	12
GI_40255142-S	FAM184A	3
Hs.395295-S	---	8
GI_4504776-S	ITGB7	6
GI_19923461-S	PHF21A	18
GI_40353732-S	NPM1	2
GI_20558478-S	---	11
GI_33942063-S	SEMA4D	5
GI_13518027-S	BFSP1	13
GI_21284386-I	ABLIM1	11
GI_13540544-S	ZBP1	13
GI_32698917-S	NSUN6	4
GI_39725688-S	TUBB4B	18
GI_8923379-S	OSGEP	6
GI_4759139-S	SLC9A3R1	19
GI_6005957-S	VSIG4	14
GI_14249125-S	GTPBP3	6
GI_34147571-S	ISG20	3
GI_6912271-S	STAP1	1
GI_31543399-S	PIAS3	12
GI_16936532-A	CDK4	5
GI_10835020-S	IGFBP4	9
GI_32967310-S	EPHA2	12
GI_28178831-S	IDH2	15
GI_4503520-S	EIF3E	2
GI_4758955-S	BZRAP1	19
GI_4505286-S	IRF4	5
Hs.458273-S	MT1L	10
GI_33286443-S	MAML2	2
GI_44889961-A	STMN1	11
GI_34594658-S	MAPKAPK5-AS1	3
Hs.374140-S	---	13
Hs.437188-S	---	8
GI_4557384-S	C3	16
GI_40353752-S	---	18
GI_34577119-S	MTRF1	6
GI_34328914-A	CD151	20
GI_17149847-S	FKBP5	10
GI_16418454-S	RBP7	7
GI_20127497-S	RRAS	16
GI_40316916-S	PCSK4	12
GI_23110963-S	CTSW	19
GI_7019374-S	FHOD1	18
GI_24307966-S	SRGAP3	11
hmm10289-S	---	11
GI_33636716-S	FAM214B	16
GI_42544245-S	SEPW1	13
GI_29337288-S	ABI3	16
GI_19923288-S	PIK3CD	6
GI_7662295-S	FCHSD2	1
GI_5454101-S	TACC3	5
GI_37551220-S	ZSWIM8	15
GI_29550827-S	ACBD3	5
GI_34335263-A	ZMYND8	2
Hs.203697-S	---	10
GI_42661702-S	---	11
GI_29731922-S	CEP78	13
GI_42734435-S	EFHD2	15
GI_28372504-S	CBX7	3
GI_25014108-S	C11orf31	10
GI_24497579-S	AKR1B1	3
GI_38201674-S	SDC4	17
GI_42560245-I	POLR1C	6
GI_34222372-S	SPNS3	12
GI_23503298-S	PRR22	6
GI_38679908-S	TEX2	4
GI_11037064-S	---	7
GI_22547113-A	MRPL10	15
GI_20302162-S	PIP4K2A	15
GI_14249657-S	MIR22HG	17
GI_27481523-S	FLJ37453	11
GI_22095346-S	CADM1	13
GI_40254875-S	PDZD11	9
GI_4885516-S	NFIL3	17
GI_10947033-S	MXD4	15
GI_22748758-S	C17orf76-AS1	2
GI_42659267-S	LOC100289019	6
GI_22035625-S	CDS2	9
GI_20336261-S	GGA1	15
GI_26190615-S	KLHDC1	2
GI_6006019-S	MAD2L2	15
GI_21618332-S	STAT4	19
GI_31542291-S	CCT3	5
GI_9910341-S	SLAMF8	16
GI_36287129-S	MRPS25	4
GI_17158002-S	ANTXR2	7
GI_39930600-S	ALKBH7	10
GI_21450843-A	MATK	19
GI_22095396-S	CRELD1	9
GI_4557504-S	CYBA	14
